epoch,train_loss,train_acc,test_loss,test_acc
1,0.6159097319285075,79.86,0.21513185448646546,93.47
2,0.24183404982884724,92.45,0.15015657271742822,95.53
3,0.18616096247434616,94.24166666666666,0.11780921587944031,96.1
4,0.15705627895196278,94.985,0.10460010261237622,96.82
5,0.13782755721410114,95.62666666666667,0.10323111156672239,96.84
6,0.12462019941608111,95.97833333333334,0.09096336459070443,97.17
7,0.1130255450407664,96.47166666666666,0.09038715789094567,97.34
8,0.10280777351061503,96.67333333333333,0.07948564066290856,97.58
9,0.09754501822988192,96.92666666666666,0.07377647028900683,97.79
10,0.09104226543108622,97.055,0.07300769043937326,97.75
11,0.0839684333662192,97.26333333333334,0.08568855875059962,97.49
12,0.08355593197743098,97.27333333333333,0.0699565356425941,97.78
13,0.07709004294077555,97.51333333333334,0.06791742715314031,97.88
14,0.07754266788363456,97.48166666666667,0.08838722744211555,97.35
15,0.07208167487382888,97.64333333333333,0.06835801894925535,97.87
